Simulation #20, Parameters: eta = 0.102477 | rho = 0.243300 | v0 = 0.424534s
Step 379000 | Order = 0.86306176334770957 | Time = 159s
Step 380000 | Order = 0.86795383730912035 | Time = 159s
Step 381000 | Order = 0.8547922334985133 | Time = 159s
Step 382000 | Order = 0.86143565086194662 | Time = 160s
Step 383000 | Order = 0.88498150281738364 | Time = 160s
Step 384000 | Order = 0.8581716743594977 | Time = 160s
Step 385000 | Order = 0.853321738846476 | Time = 161s
Step 386000 | Order = 0.87089755968552218 | Time = 161s
Step 387000 | Order = 0.86394525149781287 | Time = 162s
Step 388000 | Order = 0.85968300511641482 | Time = 162s
Step 389000 | Order = 0.86860363357910586 | Time = 163s
Step 390000 | Order = 0.85041188170575521 | Time = 163s
Step 391000 | Order = 0.86140690448749824 | Time = 163s
Step 392000 | Order = 0.85048376962400696 | Time = 164s
Step 393000 | Order = 0.87170095592340224 | Time = 164s
Step 394000 | Order = 0.85840668906482509 | Time = 164s
Step 395000 | Order = 0.86028309774062983 | Time = 165s
Step 396000 | Order = 0.85346233347419342 | Time = 165s
Step 397000 | Order = 0.87728426454165553 | Time = 165s
Step 398000 | Order = 0.86895390983586041 | Time = 166s
Step 399000 | Order = 0.86169845103705001 | Time = 166s
Step 400000 | Order = 0.87699606029223687 | Time = 167s
Step 401000 | Order = 0.85568167969278219 | Time = 167s
Step 402000 | Order = 0.8623583837608324 | Time = 168s
Step 403000 | Order = 0.86863243530614787 | Time = 168s
Step 404000 | Order = 0.86093407025719615 | Time = 168s
Step 405000 | Order = 0.8667180486341195 | Time = 169s
Step 406000 | Order = 0.87403692995770266 | Time = 169s
Step 407000 | Order = 0.85296168039584053 | Time = 170s
Step 408000 | Order = 0.85077809797423698 | Time = 170s
Step 409000 | Order = 0.85837636310727117 | Time = 170s
Step 410000 | Order = 0.85758033573282344 | Time = 171s
Step 411000 | Order = 0.84322338842102651 | Time = 171s
Step 412000 | Order = 0.85974660101065881 | Time = 171s
Step 413000 | Order = 0.85342470802336012 | Time = 172s
Step 414000 | Order = 0.83403998101938015 | Time = 172s
Step 415000 | Order = 0.84620909988810411 | Time = 173s
Step 416000 | Order = 0.85178924685564317 | Time = 173s
Step 417000 | Order = 0.86520025096263087 | Time = 173s
Step 418000 | Order = 0.87560679709160627 | Time = 174s
Step 419000 | Order = 0.86707134372416084 | Time = 174s
Step 420000 | Order = 0.86376377900323864 | Time = 175s
Step 421000 | Order = 0.87114646495256465 | Time = 175s
Step 422000 | Order = 0.84842426155424844 | Time = 175s
Step 423000 | Order = 0.87344363405209224 | Time = 176s
Step 424000 | Order = 0.87202964601699706 | Time = 176s
Step 425000 | Order = 0.83922152305441489 | Time = 176s
Step 426000 | Order = 0.86836402901824228 | Time = 177s
Step 427000 | Order = 0.84453507262286043 | Time = 177s
Step 428000 | Order = 0.87340701549577482 | Time = 178s
Step 429000 | Order = 0.85739825065626574 | Time = 178s
Step 430000 | Order = 0.84343853725175211 | Time = 178s
Step 431000 | Order = 0.85352288372543395 | Time = 179s
Step 432000 | Order = 0.86372352835639032 | Time = 179s
Step 433000 | Order = 0.87328055034019769 | Time = 180s
Step 434000 | Order = 0.8679366244570007 | Time = 180s
Step 435000 | Order = 0.8698924686203614 | Time = 180s
Step 436000 | Order = 0.87853884709407781 | Time = 181s
Step 437000 | Order = 0.85877352975573318 | Time = 181s
Step 438000 | Order = 0.86160221484950672 | Time = 182s
Step 439000 | Order = 0.86082193673384799 | Time = 182s
Step 440000 | Order = 0.85995994317036639 | Time = 182s
Step 441000 | Order = 0.85460975208064716 | Time = 183s
Step 442000 | Order = 0.86989221718639254 | Time = 183s
Step 443000 | Order = 0.86145312926312356 | Time = 184s
Step 444000 | Order = 0.87534587143685816 | Time = 184s
Step 445000 | Order = 0.8445476306310773 | Time = 184s
Step 446000 | Order = 0.86611232615723721 | Time = 185s
Step 447000 | Order = 0.86399773356883702 | Time = 185s
Step 448000 | Order = 0.86203495283781306 | Time = 185s
Step 449000 | Order = 0.86528263828739183 | Time = 186s
