Simulation #5, Parameters: eta = 0.824178 | rho = 0.203223 | v0 = 0.0105289s
Step 182000 | Order = 0.011337567614496141 | Time = 44s
Step 183000 | Order = 0.024684922168276717 | Time = 44s
Step 184000 | Order = 0.025607547894586368 | Time = 44s
Step 185000 | Order = 0.037403294639375348 | Time = 44s
Step 186000 | Order = 0.011982895694804232 | Time = 45s
Step 187000 | Order = 0.032250435493429506 | Time = 45s
Step 188000 | Order = 0.015831014681409041 | Time = 45s
Step 189000 | Order = 0.0089073133566470661 | Time = 45s
Step 190000 | Order = 0.022277515096351994 | Time = 46s
Step 191000 | Order = 0.015378620471282094 | Time = 46s
Step 192000 | Order = 0.0092513115593035496 | Time = 46s
Step 193000 | Order = 0.0075678479947630176 | Time = 46s
Step 194000 | Order = 0.021973004117819057 | Time = 47s
Step 195000 | Order = 0.0094167129395891277 | Time = 47s
Step 196000 | Order = 0.0064697422306371618 | Time = 47s
Step 197000 | Order = 0.0058809791425580354 | Time = 47s
Step 198000 | Order = 0.010079079252455889 | Time = 48s
Step 199000 | Order = 0.032221262577981968 | Time = 48s
Step 200000 | Order = 0.034829314795389525 | Time = 48s
Step 201000 | Order = 0.015582811541062691 | Time = 49s
Step 202000 | Order = 0.020881255092312444 | Time = 49s
Step 203000 | Order = 0.006627289614554231 | Time = 49s
Step 204000 | Order = 0.0162868733437803 | Time = 49s
Step 205000 | Order = 0.016664881343916513 | Time = 50s
Step 206000 | Order = 0.037140258903755954 | Time = 50s
Step 207000 | Order = 0.036452911911835813 | Time = 50s
Step 208000 | Order = 0.012966238804920651 | Time = 50s
Step 209000 | Order = 0.026406808363210438 | Time = 51s
Step 210000 | Order = 0.011357607760045869 | Time = 51s
Step 211000 | Order = 0.023757117498290573 | Time = 51s
Step 212000 | Order = 0.0051175119913199583 | Time = 51s
Step 213000 | Order = 0.0095969889587506456 | Time = 52s
Step 214000 | Order = 0.028219277048437071 | Time = 52s
Step 215000 | Order = 0.01484936605926661 | Time = 52s
Step 216000 | Order = 0.012870731994039415 | Time = 52s
Step 217000 | Order = 0.013507620149932969 | Time = 53s
Step 218000 | Order = 0.01849888667570004 | Time = 53s
