Simulation #40, Parameters: eta = 0.515655 | rho = 0.158729 | v0 = 0.188132s
Step 204000 | Order = 0.040795724204142236 | Time = 62s
Step 205000 | Order = 0.012998118054552664 | Time = 62s
Step 206000 | Order = 0.018220896221207719 | Time = 62s
Step 207000 | Order = 0.035552151614637956 | Time = 62s
Step 208000 | Order = 0.01719660612622665 | Time = 63s
Step 209000 | Order = 0.032186962414779002 | Time = 63s
Step 210000 | Order = 0.0079245847025900401 | Time = 63s
Step 211000 | Order = 0.025951674184850726 | Time = 63s
Step 212000 | Order = 0.018478602729378155 | Time = 64s
Step 213000 | Order = 0.013529815636031966 | Time = 64s
Step 214000 | Order = 0.016373358040672564 | Time = 64s
Step 215000 | Order = 0.0089843661132046043 | Time = 64s
Step 216000 | Order = 0.014200012956426042 | Time = 65s
Step 217000 | Order = 0.022499887993208352 | Time = 65s
Step 218000 | Order = 0.0070915872730058513 | Time = 65s
Step 219000 | Order = 0.0096919887203064832 | Time = 66s
Step 220000 | Order = 0.014220165656091044 | Time = 66s
Step 221000 | Order = 0.030225997219919302 | Time = 66s
Step 222000 | Order = 0.032203979865016295 | Time = 66s
Step 223000 | Order = 0.0045498942586121877 | Time = 67s
Step 224000 | Order = 0.01572780065181249 | Time = 67s
Step 225000 | Order = 0.02578257342507451 | Time = 67s
Step 226000 | Order = 0.044054688096216592 | Time = 67s
Step 227000 | Order = 0.035412178350434032 | Time = 68s
Step 228000 | Order = 0.023109483941274305 | Time = 68s
Step 229000 | Order = 0.0096510744517492482 | Time = 68s
Step 230000 | Order = 0.015171591467651071 | Time = 68s
Step 231000 | Order = 0.02115996000499399 | Time = 69s
Step 232000 | Order = 0.024098321647336531 | Time = 69s
Step 233000 | Order = 0.03692987319790169 | Time = 69s
Step 234000 | Order = 0.021556542216583291 | Time = 70s
Step 235000 | Order = 0.025667917995115735 | Time = 70s
Step 236000 | Order = 0.051152529070156362 | Time = 70s
Step 237000 | Order = 0.0064956055890083488 | Time = 70s
Step 238000 | Order = 0.023223856859169289 | Time = 71s
Step 239000 | Order = 0.029073010636858094 | Time = 71s
Step 240000 | Order = 0.0057900795230847067 | Time = 71s
Step 241000 | Order = 0.0099641947945792245 | Time = 71s
Step 242000 | Order = 0.025086491680251011 | Time = 72s
Step 243000 | Order = 0.018424159346019712 | Time = 72s
Step 244000 | Order = 0.018254106627244391 | Time = 72s
Step 245000 | Order = 0.015734673793705113 | Time = 72s
Step 246000 | Order = 0.035585267351829535 | Time = 73s
Step 247000 | Order = 0.034663126691225322 | Time = 73s
Step 248000 | Order = 0.023657353326347452 | Time = 73s
Step 249000 | Order = 0.0087360136241207212 | Time = 74s
Step 250000 | Order = 0.0011729723079970103 | Time = 74s
Step 251000 | Order = 0.027602861007805884 | Time = 74s
Step 252000 | Order = 0.004820609955355281 | Time = 75s
Step 253000 | Order = 0.024129338253698149 | Time = 75s
Step 254000 | Order = 0.029314840301192711 | Time = 76s
Step 255000 | Order = 0.0029962273002861299 | Time = 76s
Step 256000 | Order = 0.038751072129378825 | Time = 76s
Step 257000 | Order = 0.0056501781981551733 | Time = 76s
Step 258000 | Order = 0.021374968086189994 | Time = 77s
Step 259000 | Order = 0.019010055335644201 | Time = 77s
Step 260000 | Order = 0.043509445616300609 | Time = 77s
Step 261000 | Order = 0.012910961072860246 | Time = 78s
Step 262000 | Order = 0.015256382837941198 | Time = 78s
Step 263000 | Order = 0.024741212046942861 | Time = 78s
Step 264000 | Order = 0.0057140570040233709 | Time = 78s
Step 265000 | Order = 0.02866567717576083 | Time = 79s
Step 266000 | Order = 0.014605738260085122 | Time = 79s
Step 267000 | Order = 0.032989040755303622 | Time = 79s
Step 268000 | Order = 0.036384729820738794 | Time = 79s
Step 269000 | Order = 0.010854917623902687 | Time = 80s
Step 270000 | Order = 0.018125108808742518 | Time = 80s
Step 271000 | Order = 0.015928951651128714 | Time = 80s
Step 272000 | Order = 0.01373923923859501 | Time = 80s
Step 273000 | Order = 0.016236086564448561 | Time = 81s
Step 274000 | Order = 0.023723636709664202 | Time = 81s
Step 275000 | Order = 0.013645876649671844 | Time = 81s
Step 276000 | Order = 0.035837271938260959 | Time = 82s
Step 277000 | Order = 0.042153872704533329 | Time = 82s
Step 278000 | Order = 0.02100078844331733 | Time = 82s
Step 279000 | Order = 0.020224131995279584 | Time = 82s
Step 280000 | Order = 0.024658243066346723 | Time = 83s
Step 281000 | Order = 0.027077473185370834 | Time = 83s
Step 282000 | Order = 0.014429117666132512 | Time = 83s
Step 283000 | Order = 0.0076008320319218264 | Time = 83s
Step 284000 | Order = 0.0084070771250628982 | Time = 84s
Step 285000 | Order = 0.045828406673360786 | Time = 84s
Step 286000 | Order = 0.025791376701396276 | Time = 84s
Step 287000 | Order = 0.027437030550997665 | Time = 84s
Step 288000 | Order = 0.010688011682336048 | Time = 85s
Step 289000 | Order = 0.016980987670318203 | Time = 85s
Step 290000 | Order = 0.0094122256074906496 | Time = 85s
Step 291000 | Order = 0.0069921754575490661 | Time = 85s
Step 292000 | Order = 0.039077872314414647 | Time = 86s
Step 293000 | Order = 0.023127400475762519 | Time = 86s
Step 294000 | Order = 0.007968554363261434 | Time = 86s
Step 295000 | Order = 0.017262312328526229 | Time = 87s
Step 296000 | Order = 0.0051642947731160641 | Time = 87s
Step 297000 | Order = 0.018167081735636754 | Time = 87s
Step 298000 | Order = 0.057052683612139478 | Time = 87s
Step 299000 | Order = 0.011370893971353832 | Time = 88s
Step 300000 | Order = 0.017761907335887801 | Time = 88s
Step 301000 | Order = 0.012797056771962759 | Time = 88s
Step 302000 | Order = 0.028569516041024659 | Time = 89s
Step 303000 | Order = 0.02218273217048649 | Time = 89s
Step 304000 | Order = 0.0030570041023377974 | Time = 89s
Step 305000 | Order = 0.02299689223962605 | Time = 90s
Step 306000 | Order = 0.015085134696969619 | Time = 90s
Step 307000 | Order = 0.016205040130876047 | Time = 90s
Step 308000 | Order = 0.007599547675899038 | Time = 90s
Step 309000 | Order = 0.021448973505510359 | Time = 91s
Step 310000 | Order = 0.0090076517824002438 | Time = 91s
Step 311000 | Order = 0.018598978799354335 | Time = 91s
Step 312000 | Order = 0.0042195312222127468 | Time = 92s
Step 313000 | Order = 0.022041014864835531 | Time = 92s
Step 314000 | Order = 0.016203566482431434 | Time = 92s
Step 315000 | Order = 0.0092943733347652744 | Time = 92s
Step 316000 | Order = 0.01573213620655721 | Time = 93s
Step 317000 | Order = 0.0071882176092155524 | Time = 93s
Step 318000 | Order = 0.0081096754415135534 | Time = 93s
Step 319000 | Order = 0.011329461955647041 | Time = 93s
Step 320000 | Order = 0.045023973049568622 | Time = 94s
Step 321000 | Order = 0.015471294888097431 | Time = 94s
Step 322000 | Order = 0.0028704464934961615 | Time = 94s
Step 323000 | Order = 0.0098129066551555094 | Time = 94s
Step 324000 | Order = 0.016273524977166835 | Time = 95s
Step 325000 | Order = 0.010888687865258755 | Time = 95s
Step 326000 | Order = 0.015841954745167509 | Time = 95s
Step 327000 | Order = 0.047312925705882199 | Time = 96s
Step 328000 | Order = 0.017081002254010554 | Time = 96s
Step 329000 | Order = 0.0046735721323212633 | Time = 96s
Step 330000 | Order = 0.02441927592463013 | Time = 96s
Step 331000 | Order = 0.016448922337460724 | Time = 97s
Step 332000 | Order = 0.022804455691849732 | Time = 97s
Step 333000 | Order = 0.027795859979497996 | Time = 97s
Step 334000 | Order = 0.025958569550547369 | Time = 98s
Step 335000 | Order = 0.0081999377438696369 | Time = 98s
Step 336000 | Order = 0.025248660618107169 | Time = 98s
Step 337000 | Order = 0.01509057137275859 | Time = 98s
Step 338000 | Order = 0.0049446313226930768 | Time = 99s
Step 339000 | Order = 0.0079565242532559817 | Time = 99s
Step 340000 | Order = 0.028325976662167972 | Time = 99s
Step 341000 | Order = 0.031120223804790213 | Time = 100s
Step 342000 | Order = 0.0079704285424136174 | Time = 100s
Step 343000 | Order = 0.0021992789473594299 | Time = 100s
Step 344000 | Order = 0.018707683072560353 | Time = 100s
Step 345000 | Order = 0.046170017528943848 | Time = 101s
Step 346000 | Order = 0.028663698987639177 | Time = 101s
Step 347000 | Order = 0.014450799777037431 | Time = 101s
Step 348000 | Order = 0.016766549708132114 | Time = 102s
Step 349000 | Order = 0.044388551263948139 | Time = 102s
Step 350000 | Order = 0.018672732642442801 | Time = 102s
Step 351000 | Order = 0.018821439536357853 | Time = 103s
Step 352000 | Order = 0.0053692846077421563 | Time = 103s
Step 353000 | Order = 0.028550225831028009 | Time = 103s
Step 354000 | Order = 0.0073988034662370384 | Time = 104s
Step 355000 | Order = 0.0080110016156426083 | Time = 104s
Step 356000 | Order = 0.020867530353043468 | Time = 104s
Step 357000 | Order = 0.032423219815876807 | Time = 104s
Step 358000 | Order = 0.017550502774403395 | Time = 105s
Step 359000 | Order = 0.014930841913474541 | Time = 105s
Step 360000 | Order = 0.037972478195351288 | Time = 105s
Step 361000 | Order = 0.0098475525511051345 | Time = 105s
Step 362000 | Order = 0.0054550513891117149 | Time = 106s
Step 363000 | Order = 0.030875679299846845 | Time = 106s
Step 364000 | Order = 0.037573403398230586 | Time = 106s
Step 365000 | Order = 0.025592521748866927 | Time = 107s
Step 366000 | Order = 0.0044400316299388143 | Time = 107s
Step 367000 | Order = 0.032627647693480033 | Time = 107s
Step 368000 | Order = 0.023938849645655468 | Time = 107s
Step 369000 | Order = 0.032645789204173194 | Time = 108s
Step 370000 | Order = 0.029894192202213021 | Time = 108s
Step 371000 | Order = 0.0074311675142510374 | Time = 108s
Step 372000 | Order = 0.006081680027978275 | Time = 108s
Step 373000 | Order = 0.029890216240198862 | Time = 109s
Step 374000 | Order = 0.0022160149539690774 | Time = 109s
Step 375000 | Order = 0.020344297302063025 | Time = 109s
Step 376000 | Order = 0.0010247753131611419 | Time = 109s
Step 377000 | Order = 0.045611309706803001 | Time = 110s
Step 378000 | Order = 0.019800741261997056 | Time = 110s
Step 379000 | Order = 0.036929726533549943 | Time = 110s
Step 380000 | Order = 0.022327978946341604 | Time = 110s
Step 381000 | Order = 0.020325656801698583 | Time = 111s
Step 382000 | Order = 0.012888234274959802 | Time = 111s
Step 383000 | Order = 0.011190138148726722 | Time = 111s
Step 384000 | Order = 0.015285870369468348 | Time = 112s
Step 385000 | Order = 0.011692566535888359 | Time = 112s
Step 386000 | Order = 0.0088585396181644713 | Time = 112s
Step 387000 | Order = 0.016495427234850972 | Time = 112s
Step 388000 | Order = 0.022200564866964673 | Time = 113s
Step 389000 | Order = 0.017643725836197326 | Time = 113s
Step 390000 | Order = 0.029354579350812846 | Time = 113s
Step 391000 | Order = 0.015351872252870347 | Time = 114s
Step 392000 | Order = 0.038957945073027953 | Time = 114s
Step 393000 | Order = 0.010167651478909259 | Time = 114s
Step 394000 | Order = 0.027823753033723368 | Time = 115s
Step 395000 | Order = 0.028196515564814145 | Time = 115s
Step 396000 | Order = 0.0068471204318402597 | Time = 115s
Step 397000 | Order = 0.009174370451362426 | Time = 115s
Step 398000 | Order = 0.012340735553678324 | Time = 116s
Step 399000 | Order = 0.025214538900247184 | Time = 116s
Step 400000 | Order = 0.0085486298836422517 | Time = 116s
Step 401000 | Order = 0.027762435012223741 | Time = 117s
Step 402000 | Order = 0.016454663848059003 | Time = 117s
Step 403000 | Order = 0.010385076944862988 | Time = 117s
Step 404000 | Order = 0.03154624922973448 | Time = 118s
Step 405000 | Order = 0.035902501136416333 | Time = 118s
Step 406000 | Order = 0.023371208915794188 | Time = 118s
Step 407000 | Order = 0.0071326927927130856 | Time = 118s
Step 408000 | Order = 0.0084826508773422175 | Time = 119s
Step 409000 | Order = 0.017602386413138736 | Time = 119s
Step 410000 | Order = 0.0092847298159817199 | Time = 119s
Step 411000 | Order = 0.038576462418106562 | Time = 120s
Step 412000 | Order = 0.017329116388370563 | Time = 120s
Step 413000 | Order = 0.026992286954392871 | Time = 120s
Step 414000 | Order = 0.024037759674289907 | Time = 120s
Step 415000 | Order = 0.015964152393749931 | Time = 121s
Step 416000 | Order = 0.036235287220461897 | Time = 121s
Step 417000 | Order = 0.026744045569796166 | Time = 121s
Step 418000 | Order = 0.010303089643967887 | Time = 121s
Step 419000 | Order = 0.0049754705334379406 | Time = 122s
Step 420000 | Order = 0.004418510208924341 | Time = 122s
Step 421000 | Order = 0.02617976906153105 | Time = 122s
