eta,rho,v0,label
0.0352633264706962,0.2915511228594099,0.0003618846243559,0.0
0.855777087717609,0.6665186655969987,8.17962617432e-05,1.0
0.7948978108033333,0.6662454527743422,0.0002028586587246,1.0
0.0113471856967701,0.3946782636120708,2.94538410215e-05,0.0
0.0727044950188083,0.2910491813386278,0.0015026736927812,0.0
0.013551840046039,0.3471473032065687,5.38342211474e-05,0.0
0.0088015707119849,0.3987098581544556,1.90710848446e-05,0.0
0.3536010886937109,0.5575121254871755,0.0126624224511537,2.0
0.0107436762276452,0.34482671900577,3.09595890677e-05,0.0
0.0947686014731226,0.33666789429001,0.0023721350209383,0.0
0.0125050853624371,0.2208365514657196,4.77941239549e-05,0.0
0.0355819543879271,0.3226948816331074,0.0003478198578647,0.0
0.0125065958407331,0.4315867567499092,3.44415975679e-05,0.0
0.0139824769287377,0.2895751381174208,5.75423035062e-05,0.0
0.0160747034674623,0.3453064166386685,6.80233383832e-05,0.0
0.0691125919166135,0.4195770641481787,0.0011165455808959,0.0
0.0080372149634597,0.3580607364679131,1.72132653029e-05,0.0
0.0211378385613367,0.3201384940108768,0.0001358074187409,0.0
0.010683925039682,0.3530821173281371,2.81233961176e-05,0.0
0.9691928919507974,0.6665044778444768,0.000115082292969,1.0
0.0082818636310737,0.410954282449954,1.56141748647e-05,0.0
0.0619074023568559,0.3740922865360201,0.0010206724875316,0.0
0.0185078611630252,0.339238072426509,9.2211095867e-05,0.0
0.0082348700833966,0.2815520848584893,2.09225505686e-05,0.0
0.4534203511829582,0.6138991954982596,0.0121279026528056,2.0
0.0070804858863582,0.3590079563049999,1.49802901133e-05,0.0
0.0209249754602514,0.3008060361613947,0.0001094470431036,0.0
0.0146240257983691,0.2648847768902718,6.20342770732e-05,0.0
0.006954996092829,0.2983152538497395,1.42054718011e-05,0.0
0.0099849094798687,0.2992527638181398,2.96644530923e-05,0.0
0.9811744277174476,0.6666447370916001,1.58615458789e-05,1.0
0.5397221284225825,0.6357090385462751,0.008839009885258,1.0
0.0371521336843839,0.2276620635788502,0.0004606746536941,0.0
0.0078308445139676,0.3311181310744197,1.49950665429e-05,0.0
0.0390950625478428,0.3592346349865243,0.0003895614470347,0.0
0.0383009462587344,0.3374632827606731,0.0004182675438453,0.0
0.8163407462677642,0.6658924930382282,0.000387691249677,1.0
0.0227734483767301,0.3788591249661847,0.0001411876555428,0.0
0.0202175527348932,0.3358446337528552,0.0001104893237968,0.0
0.9536226625471792,0.6654907650044184,0.0008368026086763,1.0
0.3140364610670096,0.5195318171070393,0.014219810982207,2.0
0.0210720301041974,0.3652609168491915,0.0001160553282469,0.0
0.0913112572724898,0.3807535433347405,0.0021028011615952,0.0
0.0230289388249449,0.3427527829239363,0.000142273024214,0.0
