eta,rho,v0,avgOrder,avgBinder,avgSuscep,label
0.5267613490307972,0.6471751581348855,0.0050755240499248,0.522259813735271,0.6432522720886682,0.00712290547086176,2.0
0.0105273481466356,0.3398921423511473,2.82950591375e-05,0.010218453204201181,0.37452346349661514,2.5891488496140003e-05,0.0
0.0105221980363681,0.3471592332085068,2.82164620644e-05,0.00959627678616764,0.35653763706211955,2.5073830901800003e-05,0.0
0.0202502831061389,0.3450938501629155,0.0001072872372787,0.020132533134122062,0.32114973752126574,0.00010972508042668,0.0
0.021310267799846,0.3655842443591203,0.000119534901727,0.021283349170416542,0.36243270503104946,0.00011807748691173999,0.0
0.2472837274222835,0.5510112353199696,0.0075221978368778,0.24250845471170562,0.5105895915073791,0.00874496926382742,2.0
0.0103518995546099,0.3797723658998779,2.69762094876e-05,0.00978028456958358,0.3398128593308664,2.572009779684e-05,0.0
0.6729089868701054,0.6581024215575451,0.0032316766924719,0.6607927452969461,0.6556283261296876,0.0041285908756050396,1.0
0.0135035243259713,0.3978658341586049,4.43121370121e-05,0.013001286581777741,0.364186630353012,4.364736791280001e-05,0.0
0.1531376947225381,0.4141549210542462,0.0051617619855422,0.14308591035991047,0.4041328408412815,0.00439624204917186,0.0
0.4775296856421305,0.5715732589461973,0.0220339529441829,0.46486968839041654,0.552476023706156,0.02626997481166214,2.0
0.0168403214822966,0.3755550854652022,6.83907401574e-05,0.0165047720637663,0.3456135226876044,7.326930464246e-05,0.0
0.1734021605723365,0.3576480299246204,0.0076783003504266,0.18520132582665047,0.41803739717232746,0.007561319347324879,0.0
0.0191909268479793,0.3055224747488768,0.0001028484458109,0.0184688199888665,0.3336180798492806,9.493432484576e-05,0.0
0.029094361879483,0.346676534231819,0.0002195904938956,0.03123974607051242,0.3458457509392449,0.00026048631992258,0.0
0.0157666744866259,0.3583508631050357,6.44884472975e-05,0.015600675653068299,0.3459414554453084,6.490192520714001e-05,0.0
0.0252807214174263,0.3083183885850945,0.0001865541189543,0.02441812462490138,0.3053617030786554,0.00016768363743472,0.0
0.011469145952624,0.3082819455354346,3.89065251759e-05,0.0119055189385967,0.30764543032006053,4.105541811182e-05,0.0
0.5914000516878795,0.6412892536262015,0.0106498038846297,0.6330135282224665,0.6562618827097783,0.003957888118810581,1.0
0.0304623848031609,0.3015790732084504,0.0002761688767178,0.03093313266183088,0.33072543184685116,0.0002760775641054,0.0
0.0087534723420907,0.3916146325558092,1.91164026156e-05,0.00887471601021864,0.35129283838270786,2.01243801836e-05,0.0
0.0208865308861077,0.3417838661930791,0.0001205235819897,0.02029673028187636,0.3245573908504514,0.00011631249624779998,0.0
0.0043983249049551,0.3769351072646787,4.7052523048e-06,0.0044140967847962,0.3439445809892815,5.35490112566e-06,0.0
0.0057067627109896,0.3453016293139315,9.6191723272e-06,0.00569099723855954,0.2815100314356518,9.48880248e-06,0.0
0.4370578350354243,0.5473306933010029,0.0248725914910779,0.4143949172844774,0.5424420154163686,0.021406174748817442,2.0
0.025064500582234,0.3204673564013086,0.0001780890688582,0.02540639952011614,0.3445871358241888,0.00017760826457531998,0.0
0.006437456764605,0.3811346301751711,1.02081701227e-05,0.006625405591919579,0.33936486972984514,1.1721350574899999e-05,0.0
0.0151803125865564,0.3814404981378014,5.05094750204e-05,0.015020778819717421,0.3742861517356742,5.7167431401480006e-05,0.0
0.0253829652755466,0.3870916422760219,0.0001782280537029,0.0251906681183774,0.3339463327355753,0.0001835062364773,0.0
0.6817268090050654,0.65717042411868,0.0037588060124087,0.7053687213492761,0.660734033399835,0.0024476674731891005,1.0
0.0096631106208398,0.3843218802165054,2.61446777093e-05,0.009920062295499719,0.3510350403443581,2.77016307618e-05,0.0
0.0212916392301114,0.3507332470224592,0.0001082361163121,0.02140033607349218,0.3678010037914461,0.0001187086299298,0.0
0.0263254060543994,0.3384213326251848,0.0002025796807556,0.027883184761360102,0.35720234626252545,0.00020988187580788,0.0
0.0126335726281658,0.3475717256188684,4.35710850967e-05,0.013509735859399921,0.33760563161957424,4.853318756296e-05,0.0
0.019835814258558,0.3348107215938418,0.0001093438969502,0.020133490029438903,0.3363056239569751,0.00011271629222779999,0.0
0.0218255867385872,0.3129766588457423,0.0001503513549912,0.022545992736887677,0.3483193851391768,0.00013632075065582,0.0
0.0202430738155788,0.3335599416535674,0.000117142449004,0.02010653536970278,0.35100035570658955,0.00011146005337841999,0.0
0.0206844062770366,0.2805018889444749,0.0001152258270087,0.0203823455261433,0.3424830998527649,0.00010975794030652001,0.0
0.021573726084856,0.4028825452972263,0.0001119914187903,0.02036761866226338,0.33807408488699053,0.00010833115140182,0.0
0.0166382096287529,0.2927608312570541,7.05481603037e-05,0.016048768864101844,0.318858001940116,6.95986285275e-05,0.0
0.8099146166830993,0.6640071037843993,0.0014016347170577,0.8061713846357786,0.6637751872391092,0.00150967033872174,1.0
0.6795182002414699,0.6620517038576443,0.001774386947179,0.6830112862521283,0.6615031959898326,0.0019572937694462404,1.0
0.1303966985634997,0.4259748702112963,0.0040612835180139,0.1299646675623772,0.40395037033266645,0.003936496346086739,0.0
0.0071205358081255,0.2989805376669067,1.40625016794e-05,0.007292593261317999,0.35257635001950705,1.3769883843319999e-05,0.0
0.0185053244776826,0.4051884709539705,7.51056832839e-05,0.01872762545933574,0.3763203468962345,8.576290402457999e-05,0.0
0.0049650816445852,0.2921496576641254,7.0275089689e-06,0.00494764238240224,0.29833178862693643,7.178630828179999e-06,0.0
0.0170871797727462,0.4074969066737629,6.99881360493e-05,0.0168670856420719,0.32240782248565497,7.828795124768e-05,0.0
0.0051997469187428,0.3771175390926079,7.2464181997e-06,0.005256383284433239,0.343131453095767,7.45346100624e-06,0.0
0.0056661654491801,0.3562060073613737,8.6292082219e-06,0.00549600850748452,0.33762294578592306,8.351585584659998e-06,0.0
0.0163110515999776,0.3246113560777682,7.7208360297e-05,0.01665466500375322,0.3643471459659722,7.265559869899999e-05,0.0
0.0121110856334554,0.3038192297170919,3.8047960247e-05,0.01167054235648356,0.3105453050295846,3.820787905828e-05,0.0
0.1214876321302443,0.3900852426776632,0.0037279405938729,0.11958531728060154,0.40695941809825664,0.00353076470695506,0.0
0.0144343516437483,0.3557602730340612,5.20800493387e-05,0.01458908476407508,0.3632752375767396,5.44328347647e-05,0.0
0.7682846379464938,0.6548767295741476,0.0062178336895836,0.7510321257715169,0.6424057817563489,0.01426175933923192,1.0
0.7113889224237088,0.6658656870667689,0.0003087087752241,0.7104050968013589,0.6657767879262846,0.00034240216776703996,1.0
0.9543126300070984,0.6666058002871482,4.18179352024e-05,0.9526336294387233,0.6665961439976814,4.8241694320579995e-05,1.0
0.1875997984162214,0.4442431789141998,0.006667153939843,0.16778568521683074,0.43819171921971056,0.006031586281383879,0.0
