Simulation #55, Parameters: eta = 0.160282 | rho = 0.207730 | v0 = 0.449991s
Step 152000 | Order = 0.58971761364826791 | Time = 45s
Step 153000 | Order = 0.62191045491370689 | Time = 46s
Step 154000 | Order = 0.61822527730885213 | Time = 46s
Step 155000 | Order = 0.62842516648063762 | Time = 46s
Step 156000 | Order = 0.60689694112205628 | Time = 47s
Step 157000 | Order = 0.64940242915495694 | Time = 47s
Step 158000 | Order = 0.59685703713346439 | Time = 47s
Step 159000 | Order = 0.6606419030616999 | Time = 48s
Step 160000 | Order = 0.68113019399722563 | Time = 48s
Step 161000 | Order = 0.64904662398612456 | Time = 48s
Step 162000 | Order = 0.66079539899201933 | Time = 48s
Step 163000 | Order = 0.63783743321893904 | Time = 49s
Step 164000 | Order = 0.60316323697221352 | Time = 49s
Step 165000 | Order = 0.68540367602336172 | Time = 49s
Step 166000 | Order = 0.64383210675727687 | Time = 50s
Step 167000 | Order = 0.62715635939186698 | Time = 50s
Step 168000 | Order = 0.60286906967581133 | Time = 50s
Step 169000 | Order = 0.57978570861227252 | Time = 51s
Step 170000 | Order = 0.69171506000103788 | Time = 51s
Step 171000 | Order = 0.55403703196900689 | Time = 51s
Step 172000 | Order = 0.67006597812711455 | Time = 51s
Step 173000 | Order = 0.62947711092560599 | Time = 52s
Step 174000 | Order = 0.55935465886901825 | Time = 52s
Step 175000 | Order = 0.63584156614787424 | Time = 52s
Step 176000 | Order = 0.60813268863425129 | Time = 53s
Step 177000 | Order = 0.62068368805459273 | Time = 53s
Step 178000 | Order = 0.56158442540132736 | Time = 53s
Step 179000 | Order = 0.64412986314602949 | Time = 54s
Step 180000 | Order = 0.58940026484083696 | Time = 54s
Step 181000 | Order = 0.6596192726154011 | Time = 54s
Step 182000 | Order = 0.59390420566150937 | Time = 54s
Step 183000 | Order = 0.64410284898454584 | Time = 55s
Step 184000 | Order = 0.66704581586621225 | Time = 55s
Step 185000 | Order = 0.70359867310108637 | Time = 55s
Step 186000 | Order = 0.70065627849009737 | Time = 56s
Step 187000 | Order = 0.70541656882262449 | Time = 56s
Step 188000 | Order = 0.6332763326432661 | Time = 56s
Step 189000 | Order = 0.51630655782693913 | Time = 57s
Step 190000 | Order = 0.64046788038974267 | Time = 57s
Step 191000 | Order = 0.67844591328381298 | Time = 57s
Step 192000 | Order = 0.66326615288215385 | Time = 57s
