
#0:
   ##3 - order: 0.011, binder: 0.25
   ##4 - order: 0.012, binder: 0.359
   Final - Mean Order: 0.012, Mean Binder: 0.344

#62:
   ##0 - order: 0.014, binder: 0.29
   ##1 - order: 0.013, binder: 0.356
   ##2 - order: 0.013, binder: 0.29
   ##3 - order: 0.013, binder: 0.331
   ##4 - order: 0.014, binder: 0.355
   Final - Mean Order: 0.014, Mean Binder: 0.324

#63:
   ##0 - order: 0.016, binder: 0.345
   ##1 - order: 0.016, binder: 0.373
   ##2 - order: 0.015, binder: 0.291
   ##3 - order: 0.015, binder: 0.318
   ##4 - order: 0.016, binder: 0.332
   Final - Mean Order: 0.016, Mean Binder: 0.332

#64:
   ##0 - order: 0.069, binder: 0.42
   ##1 - order: 0.065, binder: 0.388
   ##2 - order: 0.067, binder: 0.418
   ##3 - order: 0.066, binder: 0.378
   ##4 - order: 0.066, binder: 0.419
   Final - Mean Order: 0.067, Mean Binder: 0.404

#65:
   ##0 - order: 0.008, binder: 0.358
   ##1 - order: 0.008, binder: 0.295
   ##2 - order: 0.008, binder: 0.3
   ##3 - order: 0.008, binder: 0.365
   ##4 - order: 0.008, binder: 0.352
   Final - Mean Order: 0.008, Mean Binder: 0.334

#66:
   ##0 - order: 0.021, binder: 0.32
   ##1 - order: 0.022, binder: 0.214
   ##2 - order: 0.02, binder: 0.345
   ##3 - order: 0.022, binder: 0.359
   ##4 - order: 0.02, binder: 0.384
   Final - Mean Order: 0.021, Mean Binder: 0.324

#67:
   ##0 - order: 0.011, binder: 0.353
   ##1 - order: 0.011, binder: 0.351
   ##2 - order: 0.011, binder: 0.282
   ##3 - order: 0.011, binder: 0.369
   ##4 - order: 0.011, binder: 0.261
   Final - Mean Order: 0.011, Mean Binder: 0.323

#68:
   ##0 - order: 0.969, binder: 0.667
   ##1 - order: 0.972, binder: 0.667
   ##2 - order: 0.971, binder: 0.667
   ##3 - order: 0.968, binder: 0.666
   ##4 - order: 0.971, binder: 0.666
   Final - Mean Order: 0.97, Mean Binder: 0.666

#69:
   ##0 - order: 0.008, binder: 0.411
   ##1 - order: 0.009, binder: 0.409
   ##2 - order: 0.008, binder: 0.389
   ##3 - order: 0.008, binder: 0.373
   ##4 - order: 0.008, binder: 0.383
   Final - Mean Order: 0.008, Mean Binder: 0.393

#70:
   ##0 - order: 0.062, binder: 0.374
   ##1 - order: 0.063, binder: 0.393
   ##2 - order: 0.065, binder: 0.364
   ##3 - order: 0.061, binder: 0.352
   ##4 - order: 0.066, binder: 0.411
   Final - Mean Order: 0.063, Mean Binder: 0.379

#71:
   ##0 - order: 0.019, binder: 0.339
   ##1 - order: 0.02, binder: 0.368
   ##2 - order: 0.019, binder: 0.351
   ##3 - order: 0.019, binder: 0.37
   ##4 - order: 0.019, binder: 0.399
   Final - Mean Order: 0.019, Mean Binder: 0.366

#72:
   ##0 - order: 0.008, binder: 0.282
   ##1 - order: 0.008, binder: 0.239
   ##2 - order: 0.009, binder: 0.253
   ##3 - order: 0.008, binder: 0.29
   ##4 - order: 0.008, binder: 0.275
   Final - Mean Order: 0.008, Mean Binder: 0.268

#73:
   ##0 - order: 0.453, binder: 0.614
   ##1 - order: 0.445, binder: 0.621
   ##2 - order: 0.457, binder: 0.607
   ##3 - order: 0.454, binder: 0.628
   ##4 - order: 0.487, binder: 0.628
   Final - Mean Order: 0.459, Mean Binder: 0.62

#74:
   ##0 - order: 0.007, binder: 0.359
   ##1 - order: 0.007, binder: 0.398
   ##2 - order: 0.007, binder: 0.384
   ##3 - order: 0.007, binder: 0.282
   ##4 - order: 0.007, binder: 0.321
   Final - Mean Order: 0.007, Mean Binder: 0.349

#75:
   ##0 - order: 0.021, binder: 0.301
   ##1 - order: 0.021, binder: 0.368
   ##2 - order: 0.022, binder: 0.34
   ##3 - order: 0.02, binder: 0.397
   ##4 - order: 0.021, binder: 0.391
   Final - Mean Order: 0.021, Mean Binder: 0.359

#76:
   ##0 - order: 0.015, binder: 0.265
