Simulation #0, Parameters: eta = 0.813919 | rho = 0.382139 | v0 = 0.113207s
Step 164000 | Order = 0.023040159817776639 | Time = 75s
Step 165000 | Order = 0.012993712988659905 | Time = 75s
Step 166000 | Order = 0.013818592080630411 | Time = 76s
Step 167000 | Order = 0.0059662252462157781 | Time = 76s
Step 168000 | Order = 0.0068746194929254394 | Time = 77s
Step 169000 | Order = 0.012040146338429928 | Time = 77s
Step 170000 | Order = 0.010235477504174301 | Time = 78s
Step 171000 | Order = 0.0077142055646914594 | Time = 78s
Step 172000 | Order = 0.011252951561992835 | Time = 79s
Step 173000 | Order = 0.014631837054928437 | Time = 79s
Step 174000 | Order = 0.0097813965984210934 | Time = 79s
Step 175000 | Order = 0.013180107704317125 | Time = 80s
Step 176000 | Order = 0.015788338579724451 | Time = 80s
Step 177000 | Order = 0.013691744524538306 | Time = 81s
Step 178000 | Order = 0.0073519552792239967 | Time = 81s
Step 179000 | Order = 0.017642924096384616 | Time = 82s
Step 180000 | Order = 0.0040442548100456908 | Time = 82s
Step 181000 | Order = 0.014925433299291933 | Time = 83s
Step 182000 | Order = 0.0034934575707537404 | Time = 83s
Step 183000 | Order = 0.004758989344836817 | Time = 84s
Step 184000 | Order = 0.0024563962463883537 | Time = 84s
Step 185000 | Order = 0.0043342891596929367 | Time = 85s
Step 186000 | Order = 0.0040153675112759293 | Time = 85s
Step 187000 | Order = 0.011984373543226916 | Time = 85s
Step 188000 | Order = 0.014642260856432308 | Time = 86s
Step 189000 | Order = 0.0054496059796280191 | Time = 86s
Step 190000 | Order = 0.01161173550617671 | Time = 87s
Step 191000 | Order = 0.010762133441714691 | Time = 87s
Step 192000 | Order = 0.01458087485840235 | Time = 88s
Step 193000 | Order = 0.015619394006411855 | Time = 88s
Step 194000 | Order = 0.020508644792206734 | Time = 89s
Step 195000 | Order = 0.026352889260869834 | Time = 89s
Step 196000 | Order = 0.0065318226377779794 | Time = 90s
Step 197000 | Order = 0.0031158228945437267 | Time = 90s
Step 198000 | Order = 0.0049587930693225889 | Time = 90s
Step 199000 | Order = 0.0050727628678905482 | Time = 91s
Step 200000 | Order = 0.0096333475358962271 | Time = 91s
Step 201000 | Order = 0.0050725688071370243 | Time = 92s
Step 202000 | Order = 0.022467688147967346 | Time = 92s
Step 203000 | Order = 0.01687813022115733 | Time = 93s
Step 204000 | Order = 0.0092340825869873279 | Time = 93s
Step 205000 | Order = 0.020648860216489002 | Time = 94s
