Simulation #23, Parameters: eta = 0.434274 | rho = 0.112604 | v0 = 0.0565273s
Step 233000 | Order = 0.017802523576932478 | Time = 62s
Step 234000 | Order = 0.021387408787765225 | Time = 63s
Step 235000 | Order = 0.013092607433887711 | Time = 63s
Step 236000 | Order = 0.021412491962804293 | Time = 63s
Step 237000 | Order = 0.013622419603512898 | Time = 63s
Step 238000 | Order = 0.020672111756764897 | Time = 63s
Step 239000 | Order = 0.0061498104670594227 | Time = 64s
Step 240000 | Order = 0.0066328742055100252 | Time = 64s
Step 241000 | Order = 0.018948609578667275 | Time = 64s
Step 242000 | Order = 0.016646252652369603 | Time = 65s
Step 243000 | Order = 0.025631756733330263 | Time = 65s
Step 244000 | Order = 0.031733910683565042 | Time = 65s
Step 245000 | Order = 0.036769315084454905 | Time = 65s
Step 246000 | Order = 0.030118017349285344 | Time = 65s
Step 247000 | Order = 0.036836741174282074 | Time = 66s
Step 248000 | Order = 0.024170711408030638 | Time = 66s
Step 249000 | Order = 0.038995017840133192 | Time = 66s
Step 250000 | Order = 0.023807104607162038 | Time = 66s
Step 251000 | Order = 0.01781767885427963 | Time = 68s
Step 252000 | Order = 0.0087395236625702217 | Time = 68s
Step 253000 | Order = 0.024665705765419422 | Time = 68s
Step 254000 | Order = 0.018186147250271435 | Time = 69s
Step 255000 | Order = 0.018408047528520939 | Time = 69s
Step 256000 | Order = 0.016823025413589755 | Time = 69s
Step 257000 | Order = 0.024928669216143225 | Time = 69s
Step 258000 | Order = 0.021741564075490282 | Time = 70s
Step 259000 | Order = 0.056252436749651885 | Time = 70s
Step 260000 | Order = 0.029196648384570915 | Time = 70s
Step 261000 | Order = 0.021720559219854402 | Time = 70s
Step 262000 | Order = 0.028660757067753277 | Time = 71s
Step 263000 | Order = 0.0081269829483901386 | Time = 71s
Step 264000 | Order = 0.010045933123952373 | Time = 71s
Step 265000 | Order = 0.035696172291978238 | Time = 71s
Step 266000 | Order = 0.033889052015193884 | Time = 71s
Step 267000 | Order = 0.01284610043533347 | Time = 72s
Step 268000 | Order = 0.036459657329446081 | Time = 72s
Step 269000 | Order = 0.052780349005552299 | Time = 72s
Step 270000 | Order = 0.0060965801607322252 | Time = 72s
Step 271000 | Order = 0.010802925614457117 | Time = 73s
Step 272000 | Order = 0.014811655110310313 | Time = 73s
Step 273000 | Order = 0.035098650551878538 | Time = 73s
Step 274000 | Order = 0.028107915996529981 | Time = 73s
Step 275000 | Order = 0.016573430832466509 | Time = 74s
Step 276000 | Order = 0.022932441484249028 | Time = 74s
Step 277000 | Order = 0.036381583591240482 | Time = 74s
Step 278000 | Order = 0.025782410659612096 | Time = 74s
Step 279000 | Order = 0.047249290678359437 | Time = 74s
Step 280000 | Order = 0.024519799927277489 | Time = 75s
Step 281000 | Order = 0.0411846890886126 | Time = 75s
Step 282000 | Order = 0.0062032463109026777 | Time = 75s
Step 283000 | Order = 0.034449658858297282 | Time = 75s
Step 284000 | Order = 0.054704302514895706 | Time = 75s
Step 285000 | Order = 0.036856000601503423 | Time = 76s
Step 286000 | Order = 0.0081564220101115071 | Time = 76s
Step 287000 | Order = 0.0036513328650887729 | Time = 76s
Step 288000 | Order = 0.040779734610888893 | Time = 76s
Step 289000 | Order = 0.029134529778870738 | Time = 77s
Step 290000 | Order = 0.020074630291557354 | Time = 77s
Step 291000 | Order = 0.044785840580740838 | Time = 77s
Step 292000 | Order = 0.021476597231771664 | Time = 77s
Step 293000 | Order = 0.062794705760557692 | Time = 78s
Step 294000 | Order = 0.0091981486330379655 | Time = 78s
Step 295000 | Order = 0.024851717466857888 | Time = 78s
