Simulation #23, Parameters: eta = 0.434274 | rho = 0.112604 | v0 = 0.0565273s
Step 232000 | Order = 0.010557956667028918 | Time = 45s
Step 233000 | Order = 0.017885450315147693 | Time = 45s
Step 234000 | Order = 0.047268114474633527 | Time = 46s
Step 235000 | Order = 0.018697286425004352 | Time = 46s
Step 236000 | Order = 0.015536051400498378 | Time = 46s
Step 237000 | Order = 0.022335177478434828 | Time = 46s
Step 238000 | Order = 0.0062115580804028179 | Time = 46s
Step 239000 | Order = 0.0224257947081123 | Time = 46s
Step 240000 | Order = 0.046279491615376291 | Time = 46s
Step 241000 | Order = 0.038837388503182704 | Time = 46s
Step 242000 | Order = 0.021305665501566071 | Time = 47s
Step 243000 | Order = 0.038435955294961313 | Time = 47s
Step 244000 | Order = 0.049434527777025956 | Time = 47s
Step 245000 | Order = 0.014799140627874364 | Time = 47s
Step 246000 | Order = 0.012497962285030036 | Time = 47s
Step 247000 | Order = 0.0099687735420638281 | Time = 47s
Step 248000 | Order = 0.029205608911679334 | Time = 47s
Step 249000 | Order = 0.020447418126202082 | Time = 48s
Step 250000 | Order = 0.0099488387729031319 | Time = 48s
Step 251000 | Order = 0.027049560406757392 | Time = 52s
Step 252000 | Order = 0.02955439458834801 | Time = 52s
Step 253000 | Order = 0.00090263473272340954 | Time = 52s
Step 254000 | Order = 0.029797921460402964 | Time = 52s
Step 255000 | Order = 0.016135960828876337 | Time = 52s
Step 256000 | Order = 0.0049054455456137656 | Time = 52s
Step 257000 | Order = 0.041622820501404999 | Time = 53s
Step 258000 | Order = 0.025506602064051444 | Time = 53s
Step 259000 | Order = 0.018007119262584866 | Time = 53s
Step 260000 | Order = 0.061281835385342348 | Time = 53s
Step 261000 | Order = 0.033638626284104807 | Time = 53s
Step 262000 | Order = 0.012554909054451363 | Time = 53s
Step 263000 | Order = 0.027153831498100339 | Time = 53s
Step 264000 | Order = 0.034357860268445915 | Time = 53s
Step 265000 | Order = 0.028736828642444485 | Time = 54s
Step 266000 | Order = 0.037705067221285207 | Time = 54s
Step 267000 | Order = 0.0080244992095235175 | Time = 54s
Step 268000 | Order = 0.032736036157518043 | Time = 54s
Step 269000 | Order = 0.017570844982851639 | Time = 54s
Step 270000 | Order = 0.0095992081075223154 | Time = 54s
Step 271000 | Order = 0.019938445127887099 | Time = 54s
Step 272000 | Order = 0.026839557506260384 | Time = 55s
Step 273000 | Order = 0.018150349320679948 | Time = 55s
Step 274000 | Order = 0.020054715133117434 | Time = 55s
Step 275000 | Order = 0.0089932241802731447 | Time = 55s
Step 276000 | Order = 0.020211824461192896 | Time = 55s
Step 277000 | Order = 0.026921809828116462 | Time = 55s
Step 278000 | Order = 0.033282155158432837 | Time = 55s
Step 279000 | Order = 0.038566657649281924 | Time = 56s
Step 280000 | Order = 0.012418797994559612 | Time = 56s
Step 281000 | Order = 0.022968110160021676 | Time = 56s
Step 282000 | Order = 0.045765955056383964 | Time = 56s
Step 283000 | Order = 0.02440212407772073 | Time = 56s
Step 284000 | Order = 0.0068799437419452486 | Time = 56s
Step 285000 | Order = 0.012596601898135575 | Time = 56s
Step 286000 | Order = 0.026725169188663741 | Time = 56s
Step 287000 | Order = 0.023896249454810867 | Time = 57s
Step 288000 | Order = 0.051892421845679292 | Time = 57s
Step 289000 | Order = 0.029191505495463059 | Time = 57s
Step 290000 | Order = 0.027561196314764013 | Time = 57s
Step 291000 | Order = 0.046349306766189834 | Time = 57s
Step 292000 | Order = 0.022102833072799262 | Time = 57s
Step 293000 | Order = 0.040261864962009716 | Time = 57s
Step 294000 | Order = 0.025944255020030615 | Time = 57s
Step 295000 | Order = 0.029458942940147236 | Time = 58s
Step 296000 | Order = 0.019859120121399922 | Time = 58s
Step 297000 | Order = 0.02500558225024543 | Time = 58s
