Simulation #37, Parameters: eta = 0.124886 | rho = 0.178772 | v0 = 0.0130329s
Step 152000 | Order = 0.19049670660407725 | Time = 54s
Step 153000 | Order = 0.20601405938526476 | Time = 54s
Step 154000 | Order = 0.15326785820899197 | Time = 55s
Step 155000 | Order = 0.10072082016311668 | Time = 55s
Step 156000 | Order = 0.039927352539310582 | Time = 55s
Step 157000 | Order = 0.14116678736931218 | Time = 56s
Step 158000 | Order = 0.22359744188791125 | Time = 56s
Step 159000 | Order = 0.1097028658886729 | Time = 57s
Step 160000 | Order = 0.12403470581808625 | Time = 57s
Step 161000 | Order = 0.1485559455774691 | Time = 57s
Step 162000 | Order = 0.21773175456444815 | Time = 58s
Step 163000 | Order = 0.066646092896165451 | Time = 58s
Step 164000 | Order = 0.14959055424286563 | Time = 59s
Step 165000 | Order = 0.24333165180183877 | Time = 59s
Step 166000 | Order = 0.22231300718142477 | Time = 59s
Step 167000 | Order = 0.21670514056500575 | Time = 60s
Step 168000 | Order = 0.22174584339357281 | Time = 60s
Step 169000 | Order = 0.26912486736386398 | Time = 61s
Step 170000 | Order = 0.26803376515212157 | Time = 61s
Step 171000 | Order = 0.21050890454564689 | Time = 61s
Step 172000 | Order = 0.18952371496269477 | Time = 62s
Step 173000 | Order = 0.28345379654080571 | Time = 62s
Step 174000 | Order = 0.29059109726067051 | Time = 62s
Step 175000 | Order = 0.19154347227390595 | Time = 63s
Step 176000 | Order = 0.19129581651043606 | Time = 63s
Step 177000 | Order = 0.18466269030185825 | Time = 64s
Step 178000 | Order = 0.21167895507222584 | Time = 64s
Step 179000 | Order = 0.014819212412776148 | Time = 64s
Step 180000 | Order = 0.071790140998773039 | Time = 65s
Step 181000 | Order = 0.079885939874682732 | Time = 65s
Step 182000 | Order = 0.088899635844307073 | Time = 65s
Step 183000 | Order = 0.060710086221817366 | Time = 66s
Step 184000 | Order = 0.038242698608497196 | Time = 66s
Step 185000 | Order = 0.034061589168659222 | Time = 67s
Step 186000 | Order = 0.088104370616928315 | Time = 67s
Step 187000 | Order = 0.092749337082908792 | Time = 67s
Step 188000 | Order = 0.24771414019885332 | Time = 68s
Step 189000 | Order = 0.16913829981922449 | Time = 68s
Step 190000 | Order = 0.14094499190256105 | Time = 68s
Step 191000 | Order = 0.19908466273050601 | Time = 69s
Step 192000 | Order = 0.25728724111635709 | Time = 69s
Step 193000 | Order = 0.31584017287443295 | Time = 70s
Step 194000 | Order = 0.41751806587126167 | Time = 70s
Step 195000 | Order = 0.53557308969390827 | Time = 70s
Step 196000 | Order = 0.55296706568839293 | Time = 71s
Step 197000 | Order = 0.40044162827475965 | Time = 71s
Step 198000 | Order = 0.39054687922944092 | Time = 71s
Step 199000 | Order = 0.37323840064194508 | Time = 72s
Step 200000 | Order = 0.38336399695279255 | Time = 72s
Step 201000 | Order = 0.37666965278718434 | Time = 73s
Step 202000 | Order = 0.29434454644075836 | Time = 73s
Step 203000 | Order = 0.36576733604151934 | Time = 73s
Step 204000 | Order = 0.26881378093820113 | Time = 74s
Step 205000 | Order = 0.16717986612745794 | Time = 74s
Step 206000 | Order = 0.073050220388355111 | Time = 74s
Step 207000 | Order = 0.034969080365550777 | Time = 75s
Step 208000 | Order = 0.11456333010339614 | Time = 75s
Step 209000 | Order = 0.12996626477471951 | Time = 75s
Step 210000 | Order = 0.23528122291899364 | Time = 76s
Step 211000 | Order = 0.18587003111591782 | Time = 76s
Step 212000 | Order = 0.10153900987386005 | Time = 77s
Step 213000 | Order = 0.16758457749032121 | Time = 77s
Step 214000 | Order = 0.14857514151773091 | Time = 77s
Step 215000 | Order = 0.25763505591302133 | Time = 78s
Step 216000 | Order = 0.29318379823109014 | Time = 78s
Step 217000 | Order = 0.23344829486513979 | Time = 79s
Step 218000 | Order = 0.17426414881124475 | Time = 79s
Step 219000 | Order = 0.12328814269814259 | Time = 79s
Step 220000 | Order = 0.29525890400588783 | Time = 80s
Step 221000 | Order = 0.31675357548490157 | Time = 80s
Step 222000 | Order = 0.37187222808891801 | Time = 80s
Step 223000 | Order = 0.47697041220211644 | Time = 81s
Step 224000 | Order = 0.44078156522173817 | Time = 81s
Step 225000 | Order = 0.24281359652890114 | Time = 82s
Step 226000 | Order = 0.32562070751452882 | Time = 82s
Step 227000 | Order = 0.32471008816863089 | Time = 82s
Step 228000 | Order = 0.24338039141007448 | Time = 83s
Step 229000 | Order = 0.23102521020288877 | Time = 83s
Step 230000 | Order = 0.16112413628631067 | Time = 83s
Step 231000 | Order = 0.21179004667929471 | Time = 84s
Step 232000 | Order = 0.098821979371855564 | Time = 84s
Step 233000 | Order = 0.15875766785027248 | Time = 84s
Step 234000 | Order = 0.035869597155212707 | Time = 85s
Step 235000 | Order = 0.10282779602684559 | Time = 85s
Step 236000 | Order = 0.11321336040320562 | Time = 86s
Step 237000 | Order = 0.088034522030813925 | Time = 86s
Step 238000 | Order = 0.19740972984107108 | Time = 86s
Step 239000 | Order = 0.11952341626414939 | Time = 87s
Step 240000 | Order = 0.055252943262583259 | Time = 87s
Step 241000 | Order = 0.13704288853869173 | Time = 87s
Step 242000 | Order = 0.19213596481198911 | Time = 88s
Step 243000 | Order = 0.21367477211546099 | Time = 88s
Step 244000 | Order = 0.26268518652844353 | Time = 89s
Step 245000 | Order = 0.40697956856918022 | Time = 89s
Step 246000 | Order = 0.49867115703606407 | Time = 89s
Step 247000 | Order = 0.3776198390641225 | Time = 90s
Step 248000 | Order = 0.47523079653150541 | Time = 90s
Step 249000 | Order = 0.4862121419283667 | Time = 91s
Step 250000 | Order = 0.46968449601497042 | Time = 91s
Step 251000 | Order = 0.51934129450069522 | Time = 91s
Step 252000 | Order = 0.53487443267919299 | Time = 92s
Step 253000 | Order = 0.54165524107717444 | Time = 92s
Step 254000 | Order = 0.5190983510459074 | Time = 93s
Step 255000 | Order = 0.47233215865457567 | Time = 93s
Step 256000 | Order = 0.35101668192476071 | Time = 94s
Step 257000 | Order = 0.37301509094071206 | Time = 94s
Step 258000 | Order = 0.30394352172433908 | Time = 94s
Step 259000 | Order = 0.31914121093696179 | Time = 95s
Step 260000 | Order = 0.2182181619975011 | Time = 95s
Step 261000 | Order = 0.2963169365311985 | Time = 95s
Step 262000 | Order = 0.27453310426563199 | Time = 96s
Step 263000 | Order = 0.23891198360614524 | Time = 96s
Step 264000 | Order = 0.21319529668456871 | Time = 97s
Step 265000 | Order = 0.26534957364334028 | Time = 97s
Step 266000 | Order = 0.15323553390321612 | Time = 97s
Step 267000 | Order = 0.13297411957492006 | Time = 98s
Step 268000 | Order = 0.21719177667281858 | Time = 98s
Step 269000 | Order = 0.17893947699220064 | Time = 98s
Step 270000 | Order = 0.11565950957508164 | Time = 99s
Step 271000 | Order = 0.21457697916707263 | Time = 99s
Step 272000 | Order = 0.30823785546145471 | Time = 99s
Step 273000 | Order = 0.29058354886225474 | Time = 100s
Step 274000 | Order = 0.30294398075728241 | Time = 100s
Step 275000 | Order = 0.21595951607027991 | Time = 101s
Step 276000 | Order = 0.23041456493820114 | Time = 101s
Step 277000 | Order = 0.13830018376642486 | Time = 101s
Step 278000 | Order = 0.074914695617959284 | Time = 102s
Step 279000 | Order = 0.2084991577467675 | Time = 102s
Step 280000 | Order = 0.098020533950086461 | Time = 102s
Step 281000 | Order = 0.095770624585000838 | Time = 103s
Step 282000 | Order = 0.37059310157983866 | Time = 103s
Step 283000 | Order = 0.29810082165607366 | Time = 104s
Step 284000 | Order = 0.28323381032165668 | Time = 104s
Step 285000 | Order = 0.2948198466523983 | Time = 104s
Step 286000 | Order = 0.43210623289165179 | Time = 105s
Step 287000 | Order = 0.34632583545679041 | Time = 105s
Step 288000 | Order = 0.20572291157160696 | Time = 105s
Step 289000 | Order = 0.37123973423500722 | Time = 106s
Step 290000 | Order = 0.11680433953271893 | Time = 106s
Step 291000 | Order = 0.23486954263874449 | Time = 106s
Step 292000 | Order = 0.15861225080281471 | Time = 107s
Step 293000 | Order = 0.33419241286650669 | Time = 107s
Step 294000 | Order = 0.32140600082671394 | Time = 107s
Step 295000 | Order = 0.15241386639235144 | Time = 108s
Step 296000 | Order = 0.13725364336368853 | Time = 108s
Step 297000 | Order = 0.11064822630558009 | Time = 109s
Step 298000 | Order = 0.14928820665881207 | Time = 109s
Step 299000 | Order = 0.35979857876562743 | Time = 109s
Step 300000 | Order = 0.21864640802878627 | Time = 110s
Step 301000 | Order = 0.26065456000879828 | Time = 110s
Step 302000 | Order = 0.12684510500354335 | Time = 110s
Step 303000 | Order = 0.24942336333982407 | Time = 111s
Step 304000 | Order = 0.17682889850140079 | Time = 111s
Step 305000 | Order = 0.11956013218810409 | Time = 111s
Step 306000 | Order = 0.11819673371052093 | Time = 112s
Step 307000 | Order = 0.14532007456336568 | Time = 112s
Step 308000 | Order = 0.15364815577362687 | Time = 112s
Step 309000 | Order = 0.28187156871146052 | Time = 113s
Step 310000 | Order = 0.26955721838383839 | Time = 113s
Step 311000 | Order = 0.20702395956679437 | Time = 114s
Step 312000 | Order = 0.24566995118494381 | Time = 114s
Step 313000 | Order = 0.2272576039307434 | Time = 114s
Step 314000 | Order = 0.25963226018719138 | Time = 115s
Step 315000 | Order = 0.20860701901112522 | Time = 115s
Step 316000 | Order = 0.23931681704122923 | Time = 115s
Step 317000 | Order = 0.13518302603636853 | Time = 116s
Step 318000 | Order = 0.21118637187249001 | Time = 116s
Step 319000 | Order = 0.37486743675946466 | Time = 116s
Step 320000 | Order = 0.46450756511206343 | Time = 117s
Step 321000 | Order = 0.40687741954435869 | Time = 117s
Step 322000 | Order = 0.48576895077198246 | Time = 117s
Step 323000 | Order = 0.57652347161628448 | Time = 118s
Step 324000 | Order = 0.51858399304945491 | Time = 118s
Step 325000 | Order = 0.4357564511557796 | Time = 118s
Step 326000 | Order = 0.45163473474576787 | Time = 119s
Step 327000 | Order = 0.37305834074278094 | Time = 119s
Step 328000 | Order = 0.3675449532465212 | Time = 119s
Step 329000 | Order = 0.32326472142528706 | Time = 120s
Step 330000 | Order = 0.35841879920910497 | Time = 120s
Step 331000 | Order = 0.28650798492509333 | Time = 120s
Step 332000 | Order = 0.29509653821957738 | Time = 121s
Step 333000 | Order = 0.36198934994692716 | Time = 121s
Step 334000 | Order = 0.31404936833477654 | Time = 122s
Step 335000 | Order = 0.3309475981087025 | Time = 122s
Step 336000 | Order = 0.28705677102827176 | Time = 122s
Step 337000 | Order = 0.31855821257375661 | Time = 123s
Step 338000 | Order = 0.49908959590353091 | Time = 123s
Step 339000 | Order = 0.51469517919114571 | Time = 123s
Step 340000 | Order = 0.41399255129444112 | Time = 124s
Step 341000 | Order = 0.54323047885264664 | Time = 124s
Step 342000 | Order = 0.44009662801971922 | Time = 124s
Step 343000 | Order = 0.45449576141553344 | Time = 125s
Step 344000 | Order = 0.38722089554902822 | Time = 125s
Step 345000 | Order = 0.31813574901183433 | Time = 125s
Step 346000 | Order = 0.35915303722372172 | Time = 126s
Step 347000 | Order = 0.29568472925145256 | Time = 126s
Step 348000 | Order = 0.18369385766624627 | Time = 126s
Step 349000 | Order = 0.3695785660857317 | Time = 127s
Step 350000 | Order = 0.27566020726804957 | Time = 127s
Step 351000 | Order = 0.21075257488895796 | Time = 128s
Step 352000 | Order = 0.22749275913758926 | Time = 128s
Step 353000 | Order = 0.28363088833089417 | Time = 128s
Step 354000 | Order = 0.26816084846973126 | Time = 129s
Step 355000 | Order = 0.21030611257148665 | Time = 129s
Step 356000 | Order = 0.091451936493663344 | Time = 129s
Step 357000 | Order = 0.23640814813237668 | Time = 130s
Step 358000 | Order = 0.037101397125678288 | Time = 130s
Step 359000 | Order = 0.13593563253691007 | Time = 131s
Step 360000 | Order = 0.16491602706434935 | Time = 131s
Step 361000 | Order = 0.12337715847039803 | Time = 131s
Step 362000 | Order = 0.16619291815508339 | Time = 132s
Step 363000 | Order = 0.17408945370930781 | Time = 132s
Step 364000 | Order = 0.091640927824793494 | Time = 132s
Step 365000 | Order = 0.14184952848907231 | Time = 133s
Step 366000 | Order = 0.16556529832817801 | Time = 133s
Step 367000 | Order = 0.18389668043256333 | Time = 133s
Step 368000 | Order = 0.16413957591830661 | Time = 134s
Step 369000 | Order = 0.093841679509186787 | Time = 134s
Step 370000 | Order = 0.055953273545642834 | Time = 135s
Step 371000 | Order = 0.0077830466647233641 | Time = 135s
Step 372000 | Order = 0.17061494216636036 | Time = 135s
Step 373000 | Order = 0.25430517418498982 | Time = 136s
Step 374000 | Order = 0.18571989944468065 | Time = 136s
Step 375000 | Order = 0.17464326736082375 | Time = 136s
Step 376000 | Order = 0.17812855751063017 | Time = 137s
Step 377000 | Order = 0.0078139499125552594 | Time = 137s
Step 378000 | Order = 0.11605647357840657 | Time = 138s
Step 379000 | Order = 0.11356917302869562 | Time = 138s
Step 380000 | Order = 0.1109308448323568 | Time = 138s
Step 381000 | Order = 0.2331746938474504 | Time = 139s
Step 382000 | Order = 0.24760974196639404 | Time = 139s
Step 383000 | Order = 0.27243847433065188 | Time = 139s
Step 384000 | Order = 0.28055944175687081 | Time = 140s
Step 385000 | Order = 0.33048557357529046 | Time = 140s
Step 386000 | Order = 0.17685267884206415 | Time = 141s
Step 387000 | Order = 0.060457823560159767 | Time = 141s
Step 388000 | Order = 0.08112658444884932 | Time = 141s
Step 389000 | Order = 0.074577242403443017 | Time = 142s
Step 390000 | Order = 0.23137392510047664 | Time = 142s
Step 391000 | Order = 0.31891705213999333 | Time = 142s
Step 392000 | Order = 0.26547682555062019 | Time = 143s
Step 393000 | Order = 0.20520675716525394 | Time = 143s
Step 394000 | Order = 0.13758326139428101 | Time = 143s
Step 395000 | Order = 0.1400212230726704 | Time = 144s
Step 396000 | Order = 0.11432496079440577 | Time = 144s
Step 397000 | Order = 0.17626920463271001 | Time = 145s
Step 398000 | Order = 0.17709081574182806 | Time = 145s
Step 399000 | Order = 0.20150059329493908 | Time = 145s
Step 400000 | Order = 0.14075120092241725 | Time = 146s
Step 401000 | Order = 0.23572110418036396 | Time = 146s
Step 402000 | Order = 0.32393009611982515 | Time = 146s
Step 403000 | Order = 0.27613939400220977 | Time = 147s
Step 404000 | Order = 0.27301629262354798 | Time = 147s
Step 405000 | Order = 0.26019707587660418 | Time = 148s
Step 406000 | Order = 0.24537927312864571 | Time = 148s
Step 407000 | Order = 0.31271422866810272 | Time = 148s
Step 408000 | Order = 0.3275678046355735 | Time = 149s
Step 409000 | Order = 0.16522868428016912 | Time = 149s
Step 410000 | Order = 0.065879233367985721 | Time = 149s
Step 411000 | Order = 0.19213962883860003 | Time = 150s
Step 412000 | Order = 0.24857707111589727 | Time = 150s
Step 413000 | Order = 0.20101162444349438 | Time = 151s
Step 414000 | Order = 0.18828452341885202 | Time = 151s
Step 415000 | Order = 0.35159851482408161 | Time = 151s
Step 416000 | Order = 0.27293894943036262 | Time = 152s
Step 417000 | Order = 0.32369075309455042 | Time = 152s
Step 418000 | Order = 0.11490847755049224 | Time = 152s
Step 419000 | Order = 0.29971489953480773 | Time = 153s
Step 420000 | Order = 0.3305784663418429 | Time = 153s
Step 421000 | Order = 0.2764837427375112 | Time = 154s
Step 422000 | Order = 0.30046517028172176 | Time = 154s
Step 423000 | Order = 0.31590603423096142 | Time = 154s
Step 424000 | Order = 0.27672247842957598 | Time = 155s
Step 425000 | Order = 0.34774613751945016 | Time = 155s
Step 426000 | Order = 0.32155489405766741 | Time = 155s
Step 427000 | Order = 0.3416289921499357 | Time = 156s
