Simulation #129, Parameters: eta = 0.491193 | rho = 0.328872 | v0 = 0.0800051s
Step 257000 | Order = 0.017262859913700693 | Time = 111s
Step 258000 | Order = 0.017000012432688862 | Time = 111s
Step 259000 | Order = 0.0070301142164545267 | Time = 112s
Step 260000 | Order = 0.025357131415856667 | Time = 112s
Step 261000 | Order = 0.011986758730440755 | Time = 112s
Step 262000 | Order = 0.037219762976609283 | Time = 113s
Step 263000 | Order = 0.024143514477231006 | Time = 113s
Step 264000 | Order = 0.021313536594908287 | Time = 114s
Step 265000 | Order = 0.033451946462424137 | Time = 114s
Step 266000 | Order = 0.0061861636396006404 | Time = 115s
Step 267000 | Order = 0.01862354767122773 | Time = 115s
Step 268000 | Order = 0.03001055612263492 | Time = 115s
Step 269000 | Order = 0.019288120294726607 | Time = 116s
Step 270000 | Order = 0.024215923409003422 | Time = 116s
Step 271000 | Order = 0.011327996060983524 | Time = 117s
Step 272000 | Order = 0.01484904064540739 | Time = 117s
Step 273000 | Order = 0.034293371382112449 | Time = 117s
Step 274000 | Order = 0.0071798423611880097 | Time = 118s
Step 275000 | Order = 0.034656571459656074 | Time = 118s
Step 276000 | Order = 0.016132380284656456 | Time = 119s
Step 277000 | Order = 0.010198164448415646 | Time = 119s
Step 278000 | Order = 0.023421214208706739 | Time = 119s
Step 279000 | Order = 0.010951398886742441 | Time = 120s
Step 280000 | Order = 0.0049234825978510073 | Time = 120s
Step 281000 | Order = 0.035730831743925266 | Time = 121s
Step 282000 | Order = 0.014723330943323589 | Time = 121s
Step 283000 | Order = 0.011042088829960559 | Time = 121s
Step 284000 | Order = 0.01543640334227689 | Time = 122s
Step 285000 | Order = 0.0064127171327740271 | Time = 122s
Step 286000 | Order = 0.0094130233632410253 | Time = 123s
Step 287000 | Order = 0.0051032396353648422 | Time = 123s
Step 288000 | Order = 0.0056224099327392765 | Time = 123s
Step 289000 | Order = 0.018516498322264804 | Time = 124s
Step 290000 | Order = 0.0078463343527996766 | Time = 124s
Step 291000 | Order = 0.032481822279994223 | Time = 125s
Step 292000 | Order = 0.019145308638609974 | Time = 125s
Step 293000 | Order = 0.0065625504633680916 | Time = 126s
Step 294000 | Order = 0.012082875335916147 | Time = 126s
Step 295000 | Order = 0.051897131467898476 | Time = 126s
Step 296000 | Order = 0.013471271280884083 | Time = 127s
Step 297000 | Order = 0.017067083014465311 | Time = 127s
Step 298000 | Order = 0.035455368270835196 | Time = 128s
Step 299000 | Order = 0.019954140825257552 | Time = 128s
Step 300000 | Order = 0.010951310742443016 | Time = 128s
Step 301000 | Order = 0.015102361170911717 | Time = 130s
Step 302000 | Order = 0.012255475457984803 | Time = 130s
Step 303000 | Order = 0.023822378566173454 | Time = 131s
Step 304000 | Order = 0.024282020291226371 | Time = 131s
Step 305000 | Order = 0.0027696656535811325 | Time = 132s
Step 306000 | Order = 0.020871245189867101 | Time = 132s
Step 307000 | Order = 0.016450118022410806 | Time = 133s
Step 308000 | Order = 0.002961217474781615 | Time = 133s
Step 309000 | Order = 0.01154255927902423 | Time = 134s
Step 310000 | Order = 0.029549768012584143 | Time = 134s
Step 311000 | Order = 0.024742868801857981 | Time = 134s
Step 312000 | Order = 0.015491440115594904 | Time = 135s
Step 313000 | Order = 0.040369423615894844 | Time = 135s
Step 314000 | Order = 0.024767667526763671 | Time = 136s
Step 315000 | Order = 0.022924831312997256 | Time = 136s
Step 316000 | Order = 0.023313348321359895 | Time = 137s
Step 317000 | Order = 0.015463527217619786 | Time = 137s
Step 318000 | Order = 0.013357625236713395 | Time = 138s
Step 319000 | Order = 0.010526290359948983 | Time = 138s
Step 320000 | Order = 0.023135127374953011 | Time = 138s
Step 321000 | Order = 0.017889064398371721 | Time = 139s
Step 322000 | Order = 0.015149590920430075 | Time = 139s
Step 323000 | Order = 0.016470304165215919 | Time = 140s
Step 324000 | Order = 0.0044687366100532719 | Time = 140s
Step 325000 | Order = 0.019405987146917741 | Time = 141s
Step 326000 | Order = 0.015747194912952664 | Time = 141s
Step 327000 | Order = 0.034734394953012261 | Time = 142s
Step 328000 | Order = 0.023356825328998684 | Time = 142s
Step 329000 | Order = 0.012154771799981577 | Time = 142s
Step 330000 | Order = 0.020193591818421678 | Time = 143s
Step 331000 | Order = 0.016314210436292095 | Time = 143s
Step 332000 | Order = 0.0313947017293651 | Time = 144s
Step 333000 | Order = 0.013133348160667939 | Time = 144s
Step 334000 | Order = 0.023819286861063535 | Time = 145s
Step 335000 | Order = 0.015584597259353674 | Time = 145s
Step 336000 | Order = 0.006888762451057585 | Time = 146s
Step 337000 | Order = 0.015005661104201734 | Time = 146s
Step 338000 | Order = 0.018595387618530721 | Time = 146s
Step 339000 | Order = 0.011780114648418834 | Time = 147s
Step 340000 | Order = 0.012643659924937781 | Time = 147s
Step 341000 | Order = 0.025597476331781999 | Time = 148s
Step 342000 | Order = 0.024369591655439074 | Time = 148s
Step 343000 | Order = 0.033022209681086177 | Time = 148s
