Simulation #122, Parameters: eta = 0.095840 | rho = 0.106524 | v0 = 0.0634708s
Step 157000 | Order = 0.19265967438862958 | Time = 30s
Step 158000 | Order = 0.21511048997885224 | Time = 31s
Step 159000 | Order = 0.17458744030436321 | Time = 31s
Step 160000 | Order = 0.23523915063224454 | Time = 31s
Step 161000 | Order = 0.15533591396441843 | Time = 31s
Step 162000 | Order = 0.29276720837620568 | Time = 31s
Step 163000 | Order = 0.25246835642915338 | Time = 32s
Step 164000 | Order = 0.38421983752948363 | Time = 32s
Step 165000 | Order = 0.37057591758277292 | Time = 32s
Step 166000 | Order = 0.23810394888316536 | Time = 32s
Step 167000 | Order = 0.21587469906406179 | Time = 32s
Step 168000 | Order = 0.38180757007859129 | Time = 33s
Step 169000 | Order = 0.34980445669465321 | Time = 33s
Step 170000 | Order = 0.17113906550453137 | Time = 33s
Step 171000 | Order = 0.2194449711412606 | Time = 33s
Step 172000 | Order = 0.30030039049390089 | Time = 33s
Step 173000 | Order = 0.32207225608203871 | Time = 34s
Step 174000 | Order = 0.45351446709137638 | Time = 34s
Step 175000 | Order = 0.33461245311626775 | Time = 34s
Step 176000 | Order = 0.26499373530572867 | Time = 34s
Step 177000 | Order = 0.20458717607719734 | Time = 34s
Step 178000 | Order = 0.14407489491527675 | Time = 34s
Step 179000 | Order = 0.17982614250057929 | Time = 35s
Step 180000 | Order = 0.053254475702748889 | Time = 35s
Step 181000 | Order = 0.089245732223352053 | Time = 35s
Step 182000 | Order = 0.053806382157097821 | Time = 35s
Step 183000 | Order = 0.27782290606706117 | Time = 35s
Step 184000 | Order = 0.4027312787206811 | Time = 36s
Step 185000 | Order = 0.39602811370578106 | Time = 36s
Step 186000 | Order = 0.23619585374620583 | Time = 36s
Step 187000 | Order = 0.095693465863771809 | Time = 36s
Step 188000 | Order = 0.24178574040210468 | Time = 36s
Step 189000 | Order = 0.15743528721717231 | Time = 37s
Step 190000 | Order = 0.182345310750926 | Time = 37s
Step 191000 | Order = 0.14233058151388589 | Time = 37s
Step 192000 | Order = 0.34188117564728698 | Time = 37s
Step 193000 | Order = 0.3627647796339637 | Time = 37s
Step 194000 | Order = 0.38773584462196997 | Time = 38s
Step 195000 | Order = 0.44444010140582657 | Time = 38s
Step 196000 | Order = 0.29226104991041119 | Time = 38s
Step 197000 | Order = 0.43647530036637133 | Time = 38s
Step 198000 | Order = 0.34470357712995303 | Time = 38s
Step 199000 | Order = 0.45677186087907767 | Time = 39s
Step 200000 | Order = 0.54276810654877561 | Time = 39s
Step 201000 | Order = 0.50920690322873297 | Time = 39s
Step 202000 | Order = 0.5360557083893982 | Time = 39s
Step 203000 | Order = 0.57147840118426407 | Time = 39s
Step 204000 | Order = 0.48778267000727948 | Time = 40s
Step 205000 | Order = 0.57504312745205544 | Time = 40s
Step 206000 | Order = 0.44214754568716674 | Time = 40s
Step 207000 | Order = 0.25709071006177825 | Time = 40s
Step 208000 | Order = 0.27428859464078426 | Time = 40s
Step 209000 | Order = 0.49843709949612752 | Time = 41s
Step 210000 | Order = 0.54254886751548437 | Time = 41s
Step 211000 | Order = 0.44155051523234068 | Time = 41s
Step 212000 | Order = 0.45953441221912072 | Time = 41s
Step 213000 | Order = 0.48450958839549702 | Time = 42s
Step 214000 | Order = 0.4077267761631887 | Time = 42s
Step 215000 | Order = 0.40326085546320217 | Time = 42s
Step 216000 | Order = 0.26791203689150472 | Time = 42s
Step 217000 | Order = 0.58551966883419848 | Time = 42s
Step 218000 | Order = 0.43971214618015575 | Time = 42s
Step 219000 | Order = 0.56172383021760108 | Time = 43s
Step 220000 | Order = 0.38625126622043793 | Time = 43s
Step 221000 | Order = 0.46972105313922735 | Time = 43s
Step 222000 | Order = 0.39091096246782592 | Time = 43s
Step 223000 | Order = 0.3707859268532222 | Time = 43s
Step 224000 | Order = 0.29712763554380361 | Time = 44s
Step 225000 | Order = 0.08942916219857612 | Time = 44s
Step 226000 | Order = 0.23314203327644589 | Time = 44s
Step 227000 | Order = 0.029154551133036201 | Time = 44s
Step 228000 | Order = 0.14814372854618751 | Time = 44s
Step 229000 | Order = 0.057172494391122521 | Time = 45s
Step 230000 | Order = 0.090636881456974946 | Time = 45s
Step 231000 | Order = 0.17866900369819291 | Time = 45s
Step 232000 | Order = 0.36323405997697444 | Time = 45s
Step 233000 | Order = 0.36482037527732186 | Time = 45s
Step 234000 | Order = 0.20452478745246727 | Time = 46s
Step 235000 | Order = 0.38396102884294164 | Time = 46s
Step 236000 | Order = 0.40417799408006189 | Time = 46s
Step 237000 | Order = 0.44106341170986263 | Time = 46s
Step 238000 | Order = 0.42497341574553288 | Time = 46s
Step 239000 | Order = 0.3496157015623364 | Time = 47s
Step 240000 | Order = 0.51581654002801303 | Time = 47s
Step 241000 | Order = 0.59973725252363264 | Time = 47s
Step 242000 | Order = 0.47762739866829501 | Time = 47s
Step 243000 | Order = 0.36790927322995975 | Time = 47s
Step 244000 | Order = 0.42566317398312886 | Time = 48s
Step 245000 | Order = 0.36823312456530433 | Time = 48s
Step 246000 | Order = 0.34211642926444863 | Time = 48s
Step 247000 | Order = 0.45833818201757959 | Time = 48s
Step 248000 | Order = 0.40384679099467652 | Time = 48s
Step 249000 | Order = 0.44827558382515675 | Time = 49s
Step 250000 | Order = 0.44367380041851484 | Time = 49s
Step 251000 | Order = 0.4839864198301197 | Time = 49s
Step 252000 | Order = 0.31503902957223373 | Time = 49s
Step 253000 | Order = 0.18379164457946795 | Time = 49s
Step 254000 | Order = 0.32864790430543273 | Time = 50s
Step 255000 | Order = 0.35605653510066954 | Time = 50s
Step 256000 | Order = 0.48844604133290004 | Time = 50s
Step 257000 | Order = 0.42366127541059018 | Time = 50s
Step 258000 | Order = 0.44535109114362798 | Time = 50s
Step 259000 | Order = 0.43479078948798139 | Time = 50s
Step 260000 | Order = 0.39577522454017378 | Time = 51s
Step 261000 | Order = 0.31435237856058562 | Time = 51s
Step 262000 | Order = 0.39837607218901999 | Time = 51s
Step 263000 | Order = 0.55027004442411132 | Time = 51s
Step 264000 | Order = 0.37650949736249739 | Time = 51s
Step 265000 | Order = 0.36627287380460605 | Time = 52s
Step 266000 | Order = 0.37408205508419873 | Time = 52s
Step 267000 | Order = 0.39009021852756876 | Time = 52s
Step 268000 | Order = 0.43147081983322927 | Time = 52s
Step 269000 | Order = 0.52085721747156999 | Time = 52s
Step 270000 | Order = 0.50187101945744872 | Time = 53s
Step 271000 | Order = 0.43683497193493209 | Time = 53s
Step 272000 | Order = 0.38485641051949249 | Time = 53s
Step 273000 | Order = 0.34899579026928301 | Time = 53s
Step 274000 | Order = 0.30569907938985641 | Time = 53s
Step 275000 | Order = 0.20882301257627195 | Time = 54s
Step 276000 | Order = 0.35224913560621757 | Time = 54s
Step 277000 | Order = 0.37192259544462014 | Time = 54s
Step 278000 | Order = 0.30147503357578054 | Time = 54s
Step 279000 | Order = 0.33942977279806702 | Time = 54s
Step 280000 | Order = 0.39018285503328076 | Time = 54s
Step 281000 | Order = 0.37752637110087833 | Time = 55s
Step 282000 | Order = 0.43905415957292671 | Time = 55s
Step 283000 | Order = 0.51102683513436753 | Time = 55s
Step 284000 | Order = 0.55444186178398513 | Time = 55s
Step 285000 | Order = 0.5381230105657715 | Time = 55s
Step 286000 | Order = 0.38012184962496454 | Time = 56s
Step 287000 | Order = 0.40170794657608949 | Time = 56s
Step 288000 | Order = 0.57361267538265959 | Time = 56s
Step 289000 | Order = 0.53820115150104486 | Time = 56s
Step 290000 | Order = 0.49025347173269757 | Time = 56s
Step 291000 | Order = 0.45582280104613049 | Time = 57s
Step 292000 | Order = 0.47081732539706345 | Time = 57s
Step 293000 | Order = 0.46397390582907483 | Time = 57s
Step 294000 | Order = 0.42286004171994124 | Time = 57s
Step 295000 | Order = 0.50653540796706142 | Time = 57s
Step 296000 | Order = 0.44911911560797135 | Time = 58s
Step 297000 | Order = 0.53743136148587012 | Time = 58s
Step 298000 | Order = 0.31297788307758279 | Time = 58s
Step 299000 | Order = 0.27060585026630946 | Time = 58s
Step 300000 | Order = 0.143480046768582 | Time = 58s
Step 301000 | Order = 0.37600174681270843 | Time = 59s
Step 302000 | Order = 0.18388661237389739 | Time = 59s
Step 303000 | Order = 0.16090749383763986 | Time = 60s
Step 304000 | Order = 0.14651020886358451 | Time = 60s
Step 305000 | Order = 0.18348942810427551 | Time = 60s
Step 306000 | Order = 0.084910190509343106 | Time = 60s
Step 307000 | Order = 0.16459458319205425 | Time = 60s
Step 308000 | Order = 0.16685736079465074 | Time = 61s
Step 309000 | Order = 0.16170220298098148 | Time = 61s
Step 310000 | Order = 0.16170734182443827 | Time = 61s
Step 311000 | Order = 0.30448226154152719 | Time = 61s
Step 312000 | Order = 0.13999192627974094 | Time = 61s
Step 313000 | Order = 0.17100700519751125 | Time = 62s
Step 314000 | Order = 0.34306322100358438 | Time = 62s
Step 315000 | Order = 0.19100180098554817 | Time = 62s
Step 316000 | Order = 0.22256020511985239 | Time = 62s
Step 317000 | Order = 0.22313000411942463 | Time = 62s
Step 318000 | Order = 0.14435206416294127 | Time = 63s
Step 319000 | Order = 0.23372169917980695 | Time = 63s
Step 320000 | Order = 0.021968723575692288 | Time = 63s
Step 321000 | Order = 0.14269139692951457 | Time = 63s
Step 322000 | Order = 0.2776581679584546 | Time = 63s
Step 323000 | Order = 0.14517955127713397 | Time = 64s
Step 324000 | Order = 0.24772975117338367 | Time = 64s
Step 325000 | Order = 0.39818200707839041 | Time = 64s
Step 326000 | Order = 0.25665501058231399 | Time = 64s
Step 327000 | Order = 0.26602374811055396 | Time = 64s
Step 328000 | Order = 0.46596572800638986 | Time = 65s
Step 329000 | Order = 0.42672816553384441 | Time = 65s
Step 330000 | Order = 0.37244583781768942 | Time = 65s
Step 331000 | Order = 0.53318200530370963 | Time = 65s
Step 332000 | Order = 0.5762765224700841 | Time = 65s
Step 333000 | Order = 0.43767557984991445 | Time = 66s
Step 334000 | Order = 0.35354607256708365 | Time = 66s
Step 335000 | Order = 0.46354815017946782 | Time = 66s
Step 336000 | Order = 0.35622109244831146 | Time = 66s
Step 337000 | Order = 0.42884055396719467 | Time = 66s
Step 338000 | Order = 0.39834065754506187 | Time = 67s
Step 339000 | Order = 0.34115631725119883 | Time = 67s
Step 340000 | Order = 0.24228122700087215 | Time = 67s
Step 341000 | Order = 0.19963569779091464 | Time = 67s
Step 342000 | Order = 0.29775371560233294 | Time = 67s
Step 343000 | Order = 0.2067818965789634 | Time = 67s
Step 344000 | Order = 0.33572056557608893 | Time = 68s
Step 345000 | Order = 0.51599333301618888 | Time = 68s
Step 346000 | Order = 0.37359625989292744 | Time = 68s
Step 347000 | Order = 0.2609712689652588 | Time = 68s
Step 348000 | Order = 0.28715490675682692 | Time = 68s
Step 349000 | Order = 0.42480778425028132 | Time = 69s
Step 350000 | Order = 0.36831415494365027 | Time = 69s
Step 351000 | Order = 0.41718117084547546 | Time = 69s
Step 352000 | Order = 0.33826806936286785 | Time = 69s
Step 353000 | Order = 0.38058606599365158 | Time = 69s
Step 354000 | Order = 0.48463375150802057 | Time = 70s
Step 355000 | Order = 0.41521166309294311 | Time = 70s
Step 356000 | Order = 0.34980078748694809 | Time = 70s
Step 357000 | Order = 0.51413661651306009 | Time = 70s
Step 358000 | Order = 0.52806994334778012 | Time = 70s
Step 359000 | Order = 0.54669183395060883 | Time = 71s
Step 360000 | Order = 0.5750695637368809 | Time = 71s
Step 361000 | Order = 0.46718693328253863 | Time = 71s
Step 362000 | Order = 0.56171013499398004 | Time = 71s
Step 363000 | Order = 0.48996458999017861 | Time = 71s
Step 364000 | Order = 0.5443564441488743 | Time = 71s
Step 365000 | Order = 0.54991696026352366 | Time = 72s
Step 366000 | Order = 0.55355320060441315 | Time = 72s
Step 367000 | Order = 0.62044118793826242 | Time = 72s
Step 368000 | Order = 0.61775492412539701 | Time = 72s
Step 369000 | Order = 0.55010035314210448 | Time = 72s
Step 370000 | Order = 0.62214571364609828 | Time = 73s
Step 371000 | Order = 0.42923670463239572 | Time = 73s
Step 372000 | Order = 0.36540080453986329 | Time = 73s
Step 373000 | Order = 0.34006809290633999 | Time = 73s
Step 374000 | Order = 0.45492418472688551 | Time = 73s
Step 375000 | Order = 0.31036987899470758 | Time = 74s
Step 376000 | Order = 0.27900645242064132 | Time = 74s
Step 377000 | Order = 0.24272066938507925 | Time = 74s
Step 378000 | Order = 0.32043065748338001 | Time = 74s
Step 379000 | Order = 0.15715661540757761 | Time = 74s
Step 380000 | Order = 0.073077175537078765 | Time = 75s
Step 381000 | Order = 0.16545715568927169 | Time = 75s
Step 382000 | Order = 0.2411452837697661 | Time = 75s
Step 383000 | Order = 0.29595134006930457 | Time = 75s
Step 384000 | Order = 0.1454114094412001 | Time = 75s
Step 385000 | Order = 0.16708256147246134 | Time = 76s
Step 386000 | Order = 0.14793737794609801 | Time = 76s
Step 387000 | Order = 0.38194488848452862 | Time = 76s
Step 388000 | Order = 0.5470806576409204 | Time = 76s
Step 389000 | Order = 0.50563247581788118 | Time = 76s
